name,title,release_date
f_1750,"A Lonesome, Final Battle: The Father of Z-Warrior Son GokÅ«, who Challenged Freeza",17-10-1990
f_48,Anywhere But Here,12-11-1999
f_337,Babe,04-08-1995
f_2178,Ballistic: Ecks vs. Sever,20-09-2002
f_330,Beauty and the Beast,22-11-1991
f_345,Braindead,12-02-1993
f_326,Broadcast News,16-12-1987
f_442,Cape Fear,13-11-1991
f_443,Cape Fear,12-04-1962
f_2051,Castaway,20-02-1986
f_1048,Child's Play 2,09-11-1990
f_1046,Child's Play 3,1991
f_1570,Chopper,03-08-2000
f_1688,Churchill: The Hollywood Years,03-12-2004
f_126,Clue,13-12-1985
f_2320,Darkness,03-10-2002
f_1058,Dawn of the Dead,19-03-2004
f_285,Dogma,12-11-1999
f_143,Dune,14-12-1984
f_341,Elizabeth,06-11-1998
f_2551,Eragon,15-12-2006
f_323,Fail-Safe,07-10-1964
f_339,Fargo,08-03-1996
f_266,Ferris Bueller's Day Off,11-06-1986
f_2519,Foxy Brown,1974-04
f_162,Frankenstein,21-11-1931
f_1082,Garden State,28-07-2004
f_335,Groundhog Day,12-02-1993
f_297,Hamlet,19-12-1990
f_1184,Hard Eight,28-02-1997
f_53,Heat,15-12-1995
f_303,Heaven Can Wait,28-06-1978
f_331,Howards End,13-12-1991
f_1091,"I, Robot",16-07-2004
f_17,Ice Age,15-03-2002
f_73,Independence Day,03-07-1996
f_45,JFK,20-12-1991
f_2304,Jagged Edge,04-10-1985
f_177,Jam Session,1942
f_682,Jesus,1979-10
f_250,Johnny Mnemonic,26-05-1995
f_1986,K-9,28-04-1989
f_64,Lara Croft: Tomb Raider,15-06-2001
f_1749,Little Nicky,20-11-2000
f_19,LÃ©on,18-11-1994
f_2211,Made,2001
f_2446,Man of the House,25-02-2005
f_304,Midnight Express,06-10-1978
f_333,Minority Report,21-06-2002
f_314,Missing,12-02-1982
f_196,National Lampoon's Animal House,28-07-1978
f_1339,National Lampoon's Last Resort,29-04-1994
f_1298,National Treasure,19-11-2004
f_22,"O Brother, Where Art Thou?",13-05-2000
f_1541,PT 109,19-06-1963
f_1933,Paparazzi,03-09-2004
f_1112,Pay It Forward,20-10-2000
f_1376,Phenomenon,03-07-1996
f_319,Platoon,19-12-1986
f_332,Poltergeist,10-06-1988
f_202,Ran,01-06-1985
f_207,Regeneration,1915
f_998,S.O.B.,01-07-1981
f_2449,Sabretooth,16-11-2002
f_320,Scream,20-12-1996
f_1687,Shaft,16-06-2000
f_215,Shaft,02-07-1971
f_216,"Sherlock, Jr.",21-04-1924
f_217,Sherman's March,05-09-1986
f_1242,Ship of Fools,29-07-1965
f_363,Shoah,23-10-1985
f_1921,Shock,10-01-1946
f_1348,Short Circuit,09-05-1986
f_144,Signs,02-08-2002
f_264,Stand by Me,08-08-1986
f_27,Star Trek: Generations,18-11-1994
f_78,Star Wars Episode III: Revenge of the Sith,19-05-2005
f_75,Star Wars Episode IV: A New Hope,25-05-1977
f_31,Stargate,28-10-1994
f_108,Sunrise,23-09-1927
f_222,Sunset Boulevard,04-08-1950
f_194,Suspicion,14-11-1941
f_223,Tabu,01-08-1931
f_1845,Tales from the Crypt,08-03-1972
f_1310,Tales from the Crypt presents: Demon Knight,13-01-1995
f_863,Taxi,08-04-1998
f_925,Taxi,06-10-2004
f_1407,Teaching Mrs. Tingle,20-08-1999
f_302,That Thing You Do!,04-10-1996
f_109,The Adventures of Robin Hood,25-04-1938
f_651,The American President,17-11-1995
f_1387,The Baby-Sitters Club,18-08-1995
f_510,The Battle of the River Plate,30-11-1956
f_2017,The Big Bounce,29-01-2004
f_1675,The Bourne Identity,14-06-2002
f_353,The Boys from Brazil,05-10-1978
f_131,The Caine Mutiny,24-06-1954
f_346,The Circus,06-01-1928
f_713,The Cotton Club,10-12-1984
f_1519,The Count of Monte Cristo,25-01-2002
f_263,The Craft,03-05-1996
f_1528,The Crow: City of Angels,30-08-1996
f_1263,The Damned,14-10-1969
f_1250,The Devil's Advocate,17-10-1997
f_621,The Diary of Anne Frank,18-03-1959
f_485,The Edge,26-09-1997
f_312,The Elephant Man,03-10-1980
f_358,The Face Behind the Mask,1941
f_137,The General,05-02-1927
f_1120,The Getaway,13-12-1972
f_329,The Godfather Part III,25-12-1990
f_832,The Haunted Mansion,26-11-2003
f_1842,The Island,22-07-2005
f_982,The King of Comedy,18-02-1983
f_262,The Lady Vanishes,01-11-1938
f_459,The Letter,22-11-1940
f_460,The Letter,13-04-1929
f_1474,The Libertine,15-05-1969
f_186,The Life and Time of Rosie the Riveter,27-09-1980
f_697,The Lodger: A Story of the London Fog,14-02-1927
f_83,The Manchurian Candidate,24-10-1962
f_1867,The Mark of Zorro,27-11-1920
f_190,The Miracle of Morgan's Creek,05-01-1944
f_1932,The Mother,14-11-2003
f_646,The Mummy,22-12-1932
f_647,The Mummy,25-09-1959
f_816,The Party,04-04-1968
f_732,The Phantom of the Opera,06-09-1925
f_240,The Pied Piper,1942
f_1341,The Princess Diaries 2: Royal Engagement,11-08-2004
f_205,The Producers,18-03-1968
f_1028,The Raven,1963
f_87,The Red Shoes,06-09-1948
f_208,The River,04-02-1938
f_607,The Rose,07-10-1979
f_283,"The Russians Are Coming, the Russians Are Coming",25-05-1966
f_746,The Score,13-07-2001
f_66,The Song Remains the Same,20-10-1976
f_1658,The Taking of Pelham One Two Three,02-10-1974
f_226,The Thief of Bagdad,18-03-1924
f_1136,The Thin Blue Line,25-08-1988
f_232,The Transformers: The Movie,08-08-1986
f_253,The Yearling,18-12-1946
f_481,Three Comrades,02-06-1938
f_518,Three Kings,01-10-1999
f_350,Thunderbolt,12-11-1910
f_600,Tillie's Punctured Romance,14-11-1914
f_72,Titanic,19-12-1997
f_228,To Be or Not to Be,06-03-1942
f_493,To Each His Own,12-03-1946
f_487,"To Sir, with Love",14-06-1967
f_105,Top Hat,30-08-1935
f_230,Topaz,1945
f_605,Topaz,17-12-1969
f_82,Tora! Tora! Tora!,23-09-1970
f_999,Toys,18-12-1992
f_309,Trainspotting,23-02-1996
f_890,Tremors,19-01-1990
f_308,Tromeo & Juliet,28-02-1997
f_436,"Truly, Madly, Deeply",03-05-1991
f_1684,Twisted,27-02-2004
f_38,U-571,21-04-2000
f_2451,Underworld: Evolution,19-01-2006
f_2282,Vanishing Point,15-01-1971
f_2181,Vanity Fair,01-09-2004
f_241,Wake Island,1942
f_84,Wall Street,11-12-1987
f_245,Wayne's World,14-02-1992
f_1642,What About Bob?,17-05-1991
f_1982,"What's Up, Doc?",09-03-1972
f_236,Where Are My Children?,16-04-1916
f_56,Where the Heart Is,28-04-2000
f_1143,Who's Harry Crumb?,03-02-1989
f_65,X-Men,14-07-2000
